Month,Sun_Hours,HPI,Unemployment_Rate,Total_Crimes
2017-01,2.1,118.06,4.6,144
2017-02,2,118.34,4.6,166
2017-03,3.8,118.02,4.5,194
2017-04,6,119.1,4.4,169
2017-05,6.3,119.38,4.4,169
2017-06,6.4,119.19,4.3,175
2017-07,5.9,121.27,4.3,157
2017-08,5.9,120.91,4.3,185
2017-09,3.8,120.1,4.2,134
2017-10,2.7,119.59,4.3,163
2017-11,2.6,118.23,4.4,167
2017-12,1.8,118.37,4.3,150
2018-01,1.9,119.1,4.2,164
2018-02,3.7,118.62,4.2,110
2018-03,2.8,117.25,4.2,176
2018-04,4.3,118.47,4.2,149
2018-05,7.8,118.78,4,168
2018-06,8.1,119.13,4,186
2018-07,8.7,120.32,4,183
2018-08,5.6,119.04,4.1,151
2018-09,5.3,118.29,4.1,114
2018-10,4.4,119.1,4,161
2018-11,2.5,117.8,4,148
2018-12,1.4,115.53,3.9,130
2019-01,1.7,116.69,3.9,115
2019-02,4.4,115.69,3.8,131
2019-03,4.2,115.22,3.8,168
2019-04,5.8,116.55,3.8,140
2019-05,6.6,115.09,3.9,100
2019-06,5.7,116.8,3.8,115
2019-07,6.8,118.78,3.9,140
2019-08,6.7,117.35,3.8,134
2019-09,5.4,118.44,3.8,142
2019-10,2.7,117.33,3.8,137
2019-11,1.7,116.36,3.8,144
2019-12,1.9,118.94,3.9,114
2020-01,1.8,118.15,4,104
2020-02,2.7,117.78,4,110
2020-03,5.2,119.8,4,83
2020-04,7.8,118.2,4.1,36
2020-05,9.7,117.47,4.1,55
2020-06,6.2,119.14,4.3,63
2020-07,5.6,120.1,4.5,61
2020-08,5.2,121.49,4.8,77
2020-09,5.4,122.43,5,87
2020-10,2.2,120.69,5.1,80
2020-11,2.1,122.74,5.2,103
2020-12,1.6,122.7,5.1,77
2021-01,1.5,124.07,5,68
2021-02,2.6,121.81,4.9,68
2021-03,3.7,124.55,4.8,85
2021-04,7.6,123.86,4.8,85
2021-05,5.5,121.95,4.7,101
2021-06,6.4,126.16,4.6,139
2021-07,6.1,127.75,4.5,157
2021-08,4.3,129.72,4.3,119
2021-09,4.6,125.82,4.2,133
2021-10,3,128.16,4.1,149
2021-11,2.3,128.36,4.1,121
2021-12,1,128.56,3.9,106
